idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 23,0.2671193124715522,0.6473523794209173,0.750803721019688,0.7802280943093812,0.8000412878341099,0.8212731384750436,0.8233182734326665,0.830487161993911,0.8383255651598537,0.8413258624067455,0.8488257125664864,0.8395926799793907,0.8482325729742847,0.8411298050168513,0.8516442565415652,0.8442409805085671,0.850405693804521,0.8517939125495785,0.8450597133665243,0.8466169034546975,0.8513499004292081,0.8466003533189751,0.8542957064443151,0.8539238985830082,0.8472277954229996
k = 25,0.26649122705533224,0.6510669585339361,0.753153080388039,0.7869259745958262,0.8008499373441307,0.8184875062188631,0.8249280840881781,0.8304733195099601,0.8391603936085289,0.8335541447916075,0.8455545269345996,0.8443474721765452,0.8376748360577515,0.8437143715641241,0.8467050678520909,0.8425382787811175,0.847336436335542,0.8500046899234507,0.8507398265438499,0.8501537071998102,0.8497394263764356,0.8528849351068164,0.8506391983259307,0.8462625091389684,0.8507098507059478
k = 27,0.2675329684026949,0.6514461412005599,0.7503350466887387,0.7843955359422791,0.8049148975577719,0.8190979445820998,0.8256474137897992,0.8265152581832174,0.8307479960580118,0.8358887235951535,0.8357801405084603,0.8429490785378377,0.8411822283877284,0.8415746445961977,0.843711124108849,0.8437613435291608,0.8446194365083309,0.8417154412611569,0.8421306283768082,0.8469708307386181,0.8478576412255634,0.8508139715921319,0.8491905431470949,0.8437327000125391,0.8466304089521467
k = 29,0.27566853251627776,0.6478982000067232,0.7473033824988388,0.7789651068594714,0.8048143338974747,0.8209071996960887,0.8195758768161389,0.8305676227876013,0.8340347488291661,0.8353211986700748,0.8392419597638021,0.8419292787875883,0.8408835152037716,0.8404644969864563,0.8470079194797313,0.8438106702999736,0.8449819242168388,0.8438207412055299,0.848884359302466,0.8435326952847756,0.8414755728931654,0.8469966505910677,0.8490562183905098,0.8432089389451155,0.8523778826568806
k = 31,0.2720154464619459,0.6484370955759704,0.7462973867891355,0.7869216698052924,0.8031759704347096,0.8168107948913186,0.8270454371590248,0.8324748398170467,0.8327983668451668,0.8371634132574595,0.8464754758223002,0.8390387116968133,0.8382454054470874,0.8460305756743566,0.8437489223388953,0.8454081858930198,0.8468063292123246,0.8503102059877987,0.842441051042815,0.8476377325360744,0.8457745860327263,0.8495469456568111,0.8457132839689819,0.8498418184232321,0.8448545846613692
k = 33,0.2720664207646757,0.6522415435474473,0.7492832526799078,0.7840704188484123,0.8011230876430779,0.8116608358860479,0.8176741083936496,0.8265592256516401,0.8343413022250005,0.8330202023587135,0.83766840437003,0.8410138346954625,0.8408972608827202,0.845038268501271,0.8438482488199419,0.844825223593733,0.8456907234739985,0.8489617029013334,0.8446009444554011,0.844834298249627,0.8499405227302954,0.8477070098313669,0.844703687724216,0.845393639785056,0.8486459499597385
k = 35,0.27057763975539767,0.6516861650628286,0.7501114182555898,0.7861582832935048,0.8006807813353791,0.8122716188476987,0.8238912471977958,0.8283142917236832,0.833324458089334,0.8332592518343066,0.8367065355003728,0.8366777419580375,0.8384657941516108,0.8411328449164615,0.8416591158562572,0.8430737023474004,0.8423676748920335,0.8403066625423211,0.8476140779602661,0.8400634325809444,0.8391529090893652,0.8410754186681855,0.8482611090250834,0.8483924150409118,0.8459833820606821
k = 37,0.27510395188248377,0.6507948178743399,0.7511492137703784,0.7848607997877451,0.8050178484204015,0.8080144396362918,0.8194164802923487,0.8201636689309799,0.8308122435565096,0.8308749454298706,0.8379039819806096,0.8388925956471006,0.8388367738930693,0.8421596702706898,0.8427907960112047,0.8467395890022861,0.8403360845062078,0.8401890634725302,0.8448450082620788,0.8440080741637018,0.8472089442681836,0.8439656142209773,0.8469792355356042,0.8425029432729374,0.8411662412097721
k = 39,0.2810422743447737,0.6503957147260078,0.7484549014627168,0.785503735997189,0.8038944445076369,0.8102110210002582,0.8217086719159397,0.8285888993952879,0.8268823936434788,0.8317627837233461,0.8326435837997306,0.833101179186554,0.8399340258038495,0.8458185561486287,0.8423717557647465,0.8457821256184301,0.8407459413934312,0.8382674262327321,0.8422911399494959,0.8429296205637234,0.84468704182684,0.8523741395880531,0.8403259738892755,0.8425578075893807,0.8456793507595695
k = 41,0.2765086901479574,0.6502077901536911,0.7481117420184871,0.7794439766101471,0.7986863863142366,0.8142028127387635,0.8207678133445718,0.8234746462268863,0.8307608898274328,0.8322852100178494,0.8364948494602874,0.8362150257014271,0.8345263043251464,0.838873082866003,0.8369665216505664,0.843507099304925,0.8399045522991869,0.8381392518753443,0.8390703300692817,0.8433705720371162,0.8452455182075462,0.8426305788271657,0.84854421808348,0.8467084963810813,0.845823794009797
k = 43,0.2707691584208153,0.6511704438161001,0.7463054093741219,0.7850478908983941,0.7938364696735614,0.8096708950662409,0.8215083941472324,0.8279024464821223,0.8257545059979847,0.83267403240243,0.8336627807860617,0.8357798167966319,0.8361879564542306,0.8380590385484226,0.8368954716213681,0.8425129184751905,0.8406167217021562,0.8414705179812945,0.844636509708308,0.8395342485393387,0.846419632436539,0.8401920148777329,0.8429264247984166,0.8402742752764011,0.842105075992265
k = 45,0.26986780657085274,0.6486082174588255,0.7459343037714661,0.7825327458800668,0.7989313714076218,0.8147963343711494,0.8176123464942833,0.825479736164155,0.8239983623767261,0.836162090596676,0.8290021585440217,0.8354701276451942,0.8375396091987248,0.8358298832944551,0.8433414210600331,0.8398612388156037,0.8373756111681457,0.8430461286272644,0.83658135755285,0.8423295784601214,0.8415789991885626,0.8461771322235689,0.8415580287483765,0.8439258920923562,0.8450238091418104
k = 47,0.27886315625148367,0.6509539202741874,0.7486720283310543,0.7797023952276868,0.7946191563031786,0.811955736669131,0.8223757798814253,0.8207372508293307,0.8271106909085739,0.8307763846738527,0.8372967800761367,0.8406426430525498,0.8374127125437145,0.837590464858003,0.8403956158712023,0.8375177890906393,0.8381484069842801,0.839301222974455,0.8427384815922686,0.8450885013439977,0.8388057097112156,0.8406127670957252,0.8396198995196453,0.8392998346240603,0.8444922710351097
